title_web,job_type,salary,location,summary,company,date,Country,title,website
Ophthalmology Patient Coordinator,Community Health,"$34,000 - $42,000 a year","Austin, TX 78759 (Arboretum area)","The patient coordinator will prepare patients' medical records, work with patients' medical insurance plans, and complete financial transactions and patients'…",Austin Eye,6/8/21,United States,Patient coordinator,Indeed
PATIENT CARE COORDINATOR,Community Health,None,"Jesup, GA 31545","Greets patients as they arrive.Schedules patient appointments, according to protocol.The patient care coordinator answers the telephone, pre-registers new…",Bone & Joint Institute of South Georgia,6/8/21,United States,Patient coordinator,Indeed
Patient Services Coordinator,Community Health,$20 - $24 an hour,"Orleans, MA 02653","The ideal candidate will be friendly, professional, have excellent communication skills, and most importantly: strong computer skills.",Advanced Family Denistry of Cape Cod,6/8/21,United States,Patient coordinator,Indeed
Daydreams Patient Coordinator,Community Health,None,"Grand Haven, MI 49417",The Daydreams Patient Coordinator works from Smile One Services to coordinate patient appointments and treatment plans on behalf of Daydreams.,Smile One Services,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,$13.00 - $14.50 an hour,"Baton Rouge, LA 70810 (Highland-Perkins area)",Collects the necessary information when patient arrives for their appointment.Protects patients’ rights by maintaining confidentiality of personal and…,Lewy Physical Therapy,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,$21 - $23 an hour,"Corte Madera, CA 94925",Greet all patients and obtain potential referrals.The PCC will also provide professional patient care as directed by their clinician.,HearingLife,6/8/21,United States,Patient coordinator,Indeed
,Community Health,"$40,999 a year","Oakland, CA 94607 (Acorn area)","CARE COORDINATORS will participate in health coaching including activities such as: medication adherence, counseling patients on healthy behaviors, and…",West Oakland Health Council,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,None,"Tualatin, OR 97062",Calling patient with biopsy results.All employees and patients are required to wear a mask and back office employees are required to wear face shields or…,Advanced Dermatology Of Oregon,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,$16 - $19 an hour,"Mount Vernon, WA 98273","We are looking for a friendly, positive person who has excellent customer service skills.Must be detail oriented, able to multi-task; work effectively in a…",Proliance Surgeons Skagit Northwest Orthopedics,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,$15 - $17 an hour,"Renton, WA 98057 (South Renton area)","Taking temperatures, scheduling patients apart, everyone wearing masks.Check-in/Check-out patients -Verifying insurance plans.Job Types: Full-time, Part-time.",Northwest Family Eye Care,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,$16 - $20 an hour,"Fremont, CA 94538 (East Industrial area)","In a typical day the coordinator will coordinate 15 orders.Communicating with patients, caregivers, physicians, and other health care providers verbally and in…",Kadence Healthcare,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,$18 - $22 an hour,"Southborough, MA 01772","Responsibilities include greeting and checking in patients, answering phones, confirming appointments, and overseeing the schedule among other office tasks.",Southborough Dental Associates,6/8/21,United States,Patient coordinator,Indeed
Front Desk Patient Coordinator,Community Health,$12 - $18 an hour,"Middlesboro, KY","The Patient Scheduling Representative is the first point of contact for patients at a practice, and also have key responsibilities in the coordination of many…","Bruce T. Wilson, DMD, PSC",6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,None,"Minneapolis, MN","A successful member of our administrative team will be able to warmly greet our patients, efficiently collect new patient information and update returning…",Minnehaha Falls Family Dental (Formerly Jakubas De...,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,"$40,000 - $100,000 a year","Delray Beach, FL",Follow up with patients after consultation.Serve as chaperone during patient encounters.Support patient needs and expand relationships with existing clientele…,Inspire Cosmetic Surgery & Med Spa,6/8/21,United States,Patient coordinator,Indeed
Patient Appointment Coordinator,Community Health,None,"Pullman, WA 99163",Interview patients to obtain accurate and necessary patient demographic and insurance information.The Scheduler is responsible for the scheduling and…,Pullman Regional Hospital,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,$16 - $19 an hour,"Hershey, PA 17033","Must be able to clearly explain treatment options and plans and expertly sell them to patients.From the first appointment to the last, our Treatment…",Hershey Dental Specialist,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,$16 - $17 an hour,"Austin, TX","Responsible for patient check-in and greeting each patient in a pleasant and professional manner.Schedule, cancel and reschedule patient appointments.",Westlake Dermatology,6/8/21,United States,Patient coordinator,Indeed
Health Care Operations (Patient Care Coordinator),Community Health,$15 - $17 an hour,"Anchorage, AK 99501 (Fairview area)","Works directly with staff, patients, insurance companies and referral sources to ensure the best possible outcomes for our patients.",Sentido Health,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,None,"Rochester, MN 55901","Candidates would be responsible for front office operations, including scheduling and coordinating patient care.This is a full-time position.",Lakewood Dental,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,Up to $25 an hour,"Hingham, MA 02043","All patients are required to wear masks upon entering the office, Covid questionnaire asked upon arrival, all surfaces sanitized.",Coastal Plastic Surgery,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator - Charles Drew Scheduling Hub,Community Health,None,"Burlington, NC 27217","Will perform the following functions: appointment scheduling, patient-check-in, registration and referral management.","Piedmont Health Services, Inc.",6/8/21,United States,Patient coordinator,Indeed
Patient Access Coordinator - Pre-Visit Call Center,Community Health,None,"Chicago, IL 60612 (Illinois Medical District area)",Have the ability to determine the patient's financial obligation and communicate this information accurately and with respect to the patient.,Rush University Medical Center,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator Paid Trainee,Community Health,$16 - $18 an hour,"New Windsor, NY 12553",High school or equivalent (Preferred).,Vail Orthodontics,6/8/21,United States,Patient coordinator,Indeed
Staffing & Patient Placement Coordinator,Community Health,$17.81 - $26.71 an hour,"Aurora, CO",Coordinates day to day staffing and supports patient flow efforts for inpatient and ambulatory patient care areas.Functions as help desk support for Clairvia.,Children's Hospital Colorado,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,$16 - $20 an hour,"Chapel Hill, NC 27514","Would prefer someone with Dental experience, but will train the right candidate.*We are looking for a Patient Care Coordinator that is also a Dental Assistant.",Royal Oak Dental Group,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,$16 - $19 an hour,"Minneapolis-Saint Paul, MN",The Pearle Vision locations in Eden Prairie and Minnetonka are looking for an awesome office/patient coordinator!Checking our Patients in and out.,Pearle Vision,6/8/21,United States,Patient coordinator,Indeed
Patient Service Coordinator,Community Health,None,"Grand Prairie, TX","We are seeking a Patient Coordinator to greet and process all incoming/outgoing patients, monitor patient flow, answer the telephone, schedule and confirm…",MyEyeDr.,6/8/21,United States,Patient coordinator,Indeed
Patient Access Coordinator -- Rehab Department,Community Health,None,"Ennis, MT 59729",Madison Valley Medical Center position opening – Patient Access Coordinator – Rehab department.The Patient Access Coordinator is responsible for many elements…,Madison Valley Medical Center,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,$13 - $20 an hour,"Pflugerville, TX 78727",Answer patient inquiries in a timely manner.Communicate instructions to patients clearly and effectively and provide demonstration when necessary.,LUV Braces,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,None,"Salt Lake City, UT",Assesses patient questions and ensures the appropriate coordination of the patient experience.Competency in electronic patient charting and scheduling.,University of Utah Health,6/8/21,United States,Patient coordinator,Indeed
Patient Service Coordinator,Community Health,None,"Victorville, CA 92395",Coordinate with office staff for timely care of patients.Answer phones and greet incoming patients and visitors.Medical terminology knowledge is a plus.,RadNet,6/8/21,United States,Patient coordinator,Indeed
Patient Assistance Coordinator,Community Health,None,"Orlando, FL 32806 (South Orange area)","Works with patients to evaluate eligibility in medication assistance programs, accesses appropriate reimbursement programs and enrolls patients.",Orlando Health,6/8/21,United States,Patient coordinator,Indeed
PATIENT CARE COORDINATOR I,Community Health,None,"Leominster, MA 01453",Complete new patient registration and data entry.Collect patient balances (copay/deductible/coinsurance).Able to work a rotating schedule between the hours of…,Professional Physical Therapy,6/8/21,United States,Patient coordinator,Indeed
Patient Access Coordinator,Community Health,None,"Louisville, KY","Exemplary customer service skills are crucial in this role, as the Patient Access Coordinator must ensure that accurate information is collected, that they are…",Baptist Health System KY & IN,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,None,"Roseville, CA 95661 (Stoneridge area)",This individual will be responsible for providing excellent customer service to our patients while assuming front desk and administrative responsibilities.,Pacific Medical,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,From $19 an hour,"Bethesda, MD 20817","Obtains, verifies, and updates patient information and provides support services to patients and providers.Explains financial requirements to the patients or…",Potomac Physician Associates,6/8/21,United States,Patient coordinator,Indeed
Patient Appointment Coordinator,Community Health,$13 - $16 an hour,"Denham Springs, LA 70726",MUST BE organized and have the ability to MULTITASK to fill a dental administrative position.*Experience in the dental field is not required but is a plus;…,PRIVATE DENTAL PRACTICE,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,$15 - $17 an hour,"Lehi, UT 84043","Using innovative technology and a holistic approach to patient-centric care, we enable patients to take back their lives.",Serenity Mental Health Centers,6/8/21,United States,Patient coordinator,Indeed
PATIENT CARE COORDINATOR,Community Health,None,"Hattiesburg, MS 39402",Communicates pertinent patient information to all health care team members.Demonstrates the knowledge and skills necessary to provide care appropriate to the…,Forrest Health,6/8/21,United States,Patient coordinator,Indeed
PATIENT CARE COORDINATOR,Community Health,None,"Jesup, GA 31545","Greets patients as they arrive.Schedules patient appointments, according to protocol.The patient care coordinator answers the telephone, pre-registers new…",Bone & Joint Institute,6/8/21,United States,Patient coordinator,Indeed
Coordinator Patient Care,Community Health,None,"Jersey City, NJ 07302 (Downtown area)",RWJBarnabas Health is…,RWJBarnabas Health,6/8/21,United States,Patient coordinator,Indeed
Patient Relations Coordinator,Community Health,$16 - $19 an hour,"Hickory, NC 28602","Skills & Expertise: At least 6 months experience analyzing patient records, scheduling appointments, verifying insurance, and helping patients understand their…",FD Partners LLC,6/8/21,United States,Patient coordinator,Indeed
Patient Registration Coordinator AdventHealth Centra Care Ca...,Community Health,None,"Tampa, FL 33647 (West Meadows area)","Prepares, processes, and files the medical record for each patient as required by patient type for documentation by physician and medical personnel.",AdventHealth Centra Care,6/8/21,United States,Patient coordinator,Indeed
Patient Appointment Coordinator,Community Health,None,"Washington, DC",Search for patient demographics in proprietary database and verify patient eligibility status using several systems.,iCallidus,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator (PCC),Community Health,$12 - $13 an hour,"Shreveport, LA 71115 (Springlake, University Terrace area)",Admitting patients into the hospital.Patient Care Coordinators are responsible for delivering excellent customer service both over the phone and in person…,University Veterinary Hospital,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator/Receptionist,Community Health,None,"Clermont, FL 34714","Record new patient referral sources.Greet patients in a friendly manner.The Patient Care Coordinator registers and discharges patients in a friendly,…","Eye Specialists of Mid-Florida, P.A.",6/8/21,United States,Patient coordinator,Indeed
Patient Access Coordinator ED Reg,Community Health,None,"Mesa, AZ 85209",Ability to transport patients via wheelchair as needed.Position Summary: Responsible for accurately and timely registering patients.,Mountain Vista Medical Center,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,From $17 an hour,"Leander, TX 78641","Returning unanswered calls, text messages and emails.Minimum 1 year dental office experience.We offer top-of-market compensation including full benefits in…",Leander Dental Care,6/8/21,United States,Patient coordinator,Indeed
Patient Svc Coordinator III Market,Community Health,None,"Winston-Salem, NC 27103","Novant Health is seeking a Patient Service Coordinator III to provide timely and accurate recordings of patient demographics, insurance information, patient…",Novant Health,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,$15 - $21 an hour,"Fremont, CA 94539 (Warm Springs area)","This is why we need an awesome full-time Patient Coordinator , to handle phone calls, greet people who come in, make patients feel welcome in the office, and…",Warm Springs Optometric Group,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,$15 - $18 an hour,"Libertyville, IL 60048",Ability to build rapport with patients.Communicate pertinent patient information to designated departments.Our dental practice is looking for someone who can…,Lake County Family Dental Care,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,$13 - $18 an hour,"Louisville, KY 40207",We are looking for a professional who can quickly absorb and retain product knowledge and company processes.The customer service representative will work as a…,Strive Medical,6/8/21,United States,Patient coordinator,Indeed
Patient Services Coordinator/UKHC,Community Health,$15.26 - $23.98 an hour,"Lexington, KY","Duties include but not limited to, coordinate complex care, patient phone calls, navigate electronic health record system, process physician orders, managing…",University of Kentucky,6/8/21,United States,Patient coordinator,Indeed
Patient Referral Coordinator,Community Health,$12.50 - $13.50 an hour,"Savannah, GA 31419","Must notify the patients of appointments scheduled, make follow-up calls to off-site providers to ensure that patients kept appointments.",Southeast Lung Associates,6/8/21,United States,Patient coordinator,Indeed
STEPS Transplant Patient Services Coordinator,Community Health,$15.26 an hour,"Lexington, KY","This process will include multi-organ patients as well as single organ patients.The Transplant PSC is responsible coordinating patients’ appointments, testing,…",University of Kentucky,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,"From $33,280 a year","Eagle, CO 81631",Able to communicate between all Axis Sports Medicine patient coordinators to maintain a supportive working relationship.Strong computer knowledge and skills.,Axis Sports Medicine,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,None,"Minneapolis, MN 55413","Compassionate patient care and customer service.Respond to patient emails received from the Patient Portal.Monitor patient medication schedules, lab schedules…",MNGI Digestive Health,6/8/21,United States,Patient coordinator,Indeed
Patient Services Coordinator,Community Health,None,"Charlotte, NC",Appointment scheduling and answering incoming calls from healthcare providers and patients.The Patient Services Coordinator (PSC) serves as the initial point…,OrthoCarolina,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,$16 - $18 an hour,"Bonita Springs, FL 34134","The Patient Care Coordinator stands in the gap, advocating for the patient’s care, serving administratively and working in partnership with the Case Navigator…",IMAC Regeneration Center,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,$19 - $24 an hour,"Spokane, WA 99202 (East Central area)","The Patient Care Coordinator assists the practice/department in maintaining a strong patient focus, supports the delivery of the highest quality care, shares a…",Plastic Surgery Northwest,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator - Call Center (Weekends),Community Health,$14 - $17 an hour,"Miami Beach, FL 33140 (Nautilus area)","Screening patients carefully & with attention-to-detail, and collecting correct information such as patient address, date of birth, and more.",ConciMed,6/8/21,United States,Patient coordinator,Indeed
"Associate Patient Care Coordinator - Las Vegas, NV",Community Health,None,"Las Vegas, NV 89102 (Rancho Charleston area)",Assist patients with intake or admitting processes.The Associate Patient Care Coordinator should also enjoy working with people and have the communication…,UnitedHealth Group,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator/Receptionist,Community Health,$19 - $21 an hour,"Marina del Rey, CA 90292",Schedule patients (new and established).Check in/Check out patients.Organizes information and coordination of many patient or office tasks.,Prostate Oncology Specialists,6/8/21,United States,Patient coordinator,Indeed
New Patient Coordinator,Community Health,$14 - $18 an hour,"Fayetteville, AR 72703",The New Patient Coordinator is responsible for onboarding New Patients and welcoming them to our office; assisting the doctor with new patient examinations;…,Roblee Orthodontics,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,$15 - $22 an hour,"Kansas City, MO 64114",Our Virtual Treatment Coordinators will use ScanSnap to follow up with new prospective patients and helping with patient communications via e-mail and…,The Smile Spot,6/8/21,United States,Patient coordinator,Indeed
Front Desk Patient Coordinator,Community Health,$18 - $22 an hour,"Lino Lakes, MN 55014",Explain dental insurance coverage to patients.Set up financial arrangements for patients.Greeting patients and answering phones in a cheerful and professional…,Droel Family Dentistry,6/8/21,United States,Patient coordinator,Indeed
ER Patient Coordinator- Veterinary Specialty Practice,Community Health,None,"Chattanooga, TN 37421 (Shepherd area)",Checking patients in and out.Providing patient updates to clients.Assisting with out-patient charges.Complete charges for procedures/out patient.,Animal Emergency & Specialty Center of Chattanooga,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,None,"Jamestown, NY 14701",Welcoming patients as they arrive.Scheduling patients after their evaluation.Ensuring that patients attend their appointments.Management of our call log.,"Chautauqua PT, OT & SLP Professionals, PLLC",6/8/21,United States,Patient coordinator,Indeed
Patient Communication Coordinator,Community Health,None,"San Antonio, TX 78229",Work with eCW and gGastro to troubleshoot any issues patients may have with the patient portal or other communication platforms.,GI Alliance,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator (PCC),Community Health,$14 - $16 an hour,"Albuquerque, NM 87120 (Taylor Ranch area)",Take patient vital signs for new patients or when directed by physician.Verbal and Written Communication to record patient encounter in patient treatment notes…,"Apollo Chiropractic Health & Wellness, LLC",6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,None,"Fort Worth, TX 76104 (Southside area)","Responsibilities include checking in and scheduling patients, chart prepping and confirming appointments as well as answering phones when needed and various…",Gateway Diagnostic Imaging,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,None,"Rogers, AR 72756","Community Clinic is seeking a Bilingual (English/Spanish) Patient Coordinator for a busy health clinic.Must have strong computer skills, excellent customer…",Community Clinic,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator (Outpatient),Community Health,None,"Tulare, CA",Admits/discharges daily patients and creates charts.Requests previous patient records from medical records as needed.,Adventist Health Reedley,6/8/21,United States,Patient coordinator,Indeed
Patient Intake Coordinator,Community Health,None,"Marietta, GA 30060","Communicate directly with patients, referring offices, and our physicians, including fielding initial calls from potential patients that may last up to 20…",Alliance Spine and Pain Centers,6/8/21,United States,Patient coordinator,Indeed
Regional Patient Care Coordinator,Community Health,"$33,000 - $35,000 a year","Troy, MI 48084","Team members within this group are responsible for patient care within a region of the country.Responsibilities include onboarding, benefit investigation, and…",DirectRx,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,$12 - $16 an hour,"Littleton, CO 80127",We need someone who can communicate with patients and staff.Private family/ cosmetic Dental Practice seeks an energetic insurance coordinator/ front…,Dakota Ridge Dental,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,None,"Germantown, TN 38138","We are in search of a patient coordinator who plays a vital role in this process.From the first visit, patients notice we are different.",Germantown Dental Group,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,$18 - $21 an hour,"Irvine, CA 92618 (Oak Creek area)","Checking schedules and organizing patient flow; accompanying patients to exam/procedure room; assisting patients as needed with walking, transfers, dressing,…",United Medical Doctors,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator / CNA / Scheduler,Community Health,"$35,000 - $45,000 a year","Phoenix, AZ","Care Manager / CNA / Home Care Coordinator / Scheduler .Endeavor Home Care - Scottsdale, Paradise Valley, Central Phoenix.Benefits you’ll enjoy at Endeavor.",Endeavor Senior In-Home Care,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,None,"Crestview, FL 32536",Check patient in and out.Follow up on patient treatment plan.If you are looking to join a rapidly growing organization where we are passionate about creating…,Comfort Dental Care and Orthodontics,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,Up to $12 an hour,"McAllen, TX 78577",An empathetic listener who quickly understands the needs of our discerning patients.Warm and engaging with our patients and have the ability to build…,Arcade Dental,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,None,"Clinton, MD 20735",Responsibilities include by not limited to:,Fenton Family Dental Clinton,6/8/21,United States,Patient coordinator,Indeed
PATIENT SERVICES COORDINATOR,Community Health,None,"Jesup, GA 31545",Recognizes patient distress and takes action as necessary.Greets patients and ensures that the sign in process is completed.Takes deposit to bank as needed.,Apple Immediate Care,6/8/21,United States,Patient coordinator,Indeed
Access Service Coordinator Patient Registration,Community Health,None,"Stuart, FL","If necessary, establishes patient medical record number to minimize the medical risk to patients.Process registration and pre-registrations on all patient…",Cleveland Clinic,6/8/21,United States,Patient coordinator,Indeed
Coolsculpting & Patient Coordinator,Community Health,$19 - $21 an hour,"Albuquerque, NM 87107","When a patient is having a treatment, it is expected that the Coolsculpting specialist will step out and help the Front desk with phone calls, scheduling and…",Flawless Med Spa,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,None,"Cary, NC 27513",Cary Oral Surgery is seeking a patient coordinator to join our team.Creating and reviewing treatment plans with patients.Balancing end of day reports.,Cary Oral and Maxillofacial Surgery Center,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,$14.50 an hour,"Murray, UT 84107",\* Assists the patient onto the MRI/CT table.\* Escorts the patient to the dressing room and ensures the patient screening information is accurate and checks…,Mountain Medical,6/8/21,United States,Patient coordinator,Indeed
Patient Relations Coordinator,Community Health,None,"El Cajon, CA 92020",We are a large dental practice and we are passionate about providing superior dental care to our patients.You must have dental experience and be proficient in…,Tower Dentistry,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,$15 - $20 an hour,"Lewisville, TX 75077","Will be responsible for treatment plan presentations, greeting patients, answering phones, confirming appointments, verifying insurance, updating patient…",CareWay Dental,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,"$25,000 - $35,000 a year","Lexington, KY 40509",\* Screens patients by comparing patient's condition to admission criteria; evaluating and scheduling patients.USD 25000 - 35000 Per Year.,Miracle Ear/Listen Hear LLC,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,$15 - $25 an hour,"Keene, NH 03431",Schedule patient treatment appointments; reschedule patients that miss their appointment and call patients that have not completed treatment..,Raynor Dental,6/8/21,United States,Patient coordinator,Indeed
Patient Access Coordinator - Remote,Community Health,None,"Toledo, OH",Facilitates scheduling and subsequent patient communication if applicable to assignment.Role includes coordination and communication that supports patient…,Mercy Health,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,$20 - $25 an hour,"Torrance, CA 90503","You will help the clinic with operating some medical equipment, intake, scheduling, and other office and patient needs and collaborate with medical…",Clear Mind Treatment,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,$12 - $14 an hour,"Las Vegas, NV 89102 (Rancho Charleston area)",Coordinate registration and account activation for new patients including completion of New Patient Relationship form for all patients.,Access Health Dental,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator - Health Home Program,Community Health,None,"San Diego, CA 92123","Communicate to PCP any significant changes patient concerns along with any updates on patient status.Capturing of patient demographics information, insurance…","American TrueCare, Inc.",6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator,Community Health,$12 - $16 an hour,"Littleton, CO 80127",We do not work weekends and will provide a competitive compensation package based on experience.Our office needs someone to work full time.,Dakota Ridge Dental,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,None,"Germantown, TN 38138",We are in search of a patient coordinator who plays a vital role in this process.The candidate will meet with all new/existing patients scheduled with the…,Germantown Dental Group,6/8/21,United States,Patient coordinator,Indeed
Patient Care Coordinator / CNA / Scheduler,Community Health,"$35,000 - $45,000 a year","Phoenix, AZ",Endeavor Home Care is looking for a full time Client Care Manager in the Phoenix/Scottsdale area with a heart for helping others.Paid Sick and Vacation Time.,Endeavor Senior In-Home Care,6/8/21,United States,Patient coordinator,Indeed
Patient Coordinator,Community Health,None,"Crestview, FL 32536",Check patient in and out.Follow up on patient treatment plan.Excellent phone and reception skills.Verify insurance eligibility and pre- authorize benefits.,Comfort Dental Care and Orthodontics,6/8/21,United States,Patient coordinator,Indeed
Assistant Director: Support a Mental Health Non-Profit,Community Health,None,"Oxnard, CA 93036 (Sierra Linda area)","The Assistant Director will play a vital role in the delivery of all functions of the program including equitable hiring, ongoing training, and supervision of…",Seneca Family of Agencies,6/8/21,United States,Non-profit director,Indeed
Assistant Director: Support a Mental Health Non-Profit,Community Health,None,"Oxnard, CA 93036 (Sierra Linda area)",Seneca Family of Agencies is hiring an Assistant Director to assist in leading and growing our programs within Ventura Crisis Services.,Seneca Family of Agencies,6/8/21,United States,Non-profit director,Indeed
Personal Health Coach,Community Health,$14.50 an hour,"Brantford, ON","Passion for health and wellness.Training program to become a Personal Health Coach.Previous sales and customer service experience in the hospitality, retail,…",Ewyn Studios Weight Loss Studios,6/8/21,Canada,Health coach,Indeed
Personal Health Coach,Community Health,None,"Leamington, ON",As a Personal Health Coach you would be responsible for coaching the clients on our meal plan and motivating them to stay the course and reach their goals.,Ewyn Weight Loss Studios,6/8/21,Canada,Health coach,Indeed
Personal Health Coach,Community Health,$15 - $17 an hour,"Owen Sound, ON",Passion for health and wellness.Previous experience in Personal Training and Retail an asset.Competitive base and incentive pay.,Ewyn Weight Loss Studios Owen Sound,6/8/21,Canada,Health coach,Indeed
Health Coach,Community Health,None,"St. John's, NL","previous sales and customer service experience in the hospitality, retail, beauty, fitness or weight loss industry..",Ewyn Studios,6/8/21,Canada,Health coach,Indeed
Personal Health Coach,Community Health,"$1,500 - $2,500 a month","Toronto, ON",Minimum 2 years of experience as a health coach offering services to clients.Conduct 1:1 and group health coaching sessions with users.,Anooka Health,6/8/21,Canada,Health coach,Indeed
Health/Wellness Coach - Full Time,Community Health,$19 an hour,"Stoney Creek, ON","An immediate full-time position is available for those who are multi-taskers, highly motivated, and available to work weekends & some evenings.",Jenny Craig,6/8/21,Canada,Health coach,Indeed
Chiropractor/ Osteopath/ Life Coach/ Health and Wellness Pro...,Community Health,None,"Delhi, ON","Job Types: Full-time, Part-time.Personal protective equipment provided or required.Social distancing guidelines in place.",Body & Soul,6/8/21,Canada,Health coach,Indeed
1.0 FTE Mental Health Capacity Building Wellness Coach,Community Health,None,"Taber, AB","This position requires someone who has been formally educated in the health or social sciences field (such as health promotion & prevention, social work,…",Horizon School Division,6/8/21,Canada,Health coach,Indeed
Success Coach-Mental Health Capacity Building Program – YES...,Community Health,None,"Innisfail, AB","This position requires someone who has been formally educated in the health or social sciences field (such as health promotion & prevention, social work,…",Chinook's Edge School Division,6/8/21,Canada,Health coach,Indeed
Health/Wellness Coach - Full Time,Community Health,$19 an hour,"North Vancouver, BC","An immediate full-time position is available for those who are multi-taskers, highly motivated, and available to work weekends & some evenings.",Jenny Craig,6/8/21,Canada,Health coach,Indeed
Medical Archivist/Cancer Registrar,Community Health,None,"Montréal, QC","TITLE: Medical Archivist/Cancer Registrar LOCATION: Montreal, QC Permanent, full time…",Groom & Associes,6/8/21,Canada,Medical registrar,Indeed
Medical Archivist/Cancer Registrar,Community Health,None,"Montréal, QC",TITLE: Medical Archivist/Cancer Registrar.,Groom & Associes,6/8/21,Canada,Medical registrar,Indeed
Diabetes Nurse Educator,Community Health,$38.24 - $47.81 an hour,"St. Thomas, ON",Minimum of five (5) years of current nursing experience with recognized expertise in diabetes (preferred).An integral part of this role will be to facilitate…,St. Thomas Elgin General Hospital,6/8/21,Canada,Diabetes educator,Indeed
"Diabetes Nurse Educator, full-time TERM to June 2022*",Community Health,$47.68 - $56.96 an hour,"Hay River, NT", Knowledge of basic diabetes foot care and ability to perform diabetes foot assessments.The Diabetes Nurse Educator (DNE) is the lead certified diabetes…,Hay River Health & Social Services Authority,6/8/21,Canada,Diabetes educator,Indeed
Diabetes Nurse Educator,Community Health,None,"Muskoka, ON",You are a Certified Diabetes Educator (or willingness to obtain certification) and have a minimum of two years of teaching in a diabetes education setting along…,Muskoka Algonquin Healthcare,6/8/21,Canada,Diabetes educator,Indeed
Registered Nurse - Certified Diabetes Educator,Community Health,$43.25 an hour,"Thunder Bay, ON",Will work within current medical directives to provide care for clients to manage their diabetes.Continuous quality improvement and evaluation to ensure…,Anishnawbe Mushkiki,6/8/21,Canada,Diabetes educator,Indeed
